title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Spotlight,https://cinejoy.to/movie/314365-spotlight-2015,https://image.tmdb.org/t/p/w500/8DPGG400FgaFWaqcv11n8mRd2NG.jpg,2015-11-06,7.813,129,,Tom McCarthy,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",en,"Mark Ruffalo as Michael Rezendes | Michael Keaton as Walter 'Robby' Robinson | Rachel McAdams as Sacha Pfeiffer | Liev Schreiber as Marty Baron | John Slattery as Ben Bradlee, Jr. | Brian d'Arcy James as Matt Carroll | Stanley Tucci as Mitchell Garabedian | Elena Wohl as Barbara | Gene Amoroso as Steve Kurkjian | Doug Murray as Peter Canellos",314365
Birdman or (The Unexpected Virtue of Ignorance),https://cinejoy.to/movie/194662-birdman-or-the-unexpected-virtue-of-ignorance-2014,https://image.tmdb.org/t/p/w500/rHUg2AuIuLSIYMYFgavVwqt1jtc.jpg,2014-10-17,7.436,120,,Alejandro G. Iñárritu,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",en,Michael Keaton as Riggan | Emma Stone as Sam | Zach Galifianakis as Jake | Edward Norton as Mike | Andrea Riseborough as Laura | Naomi Watts as Lesley | Amy Ryan as Sylvia | Lindsay Duncan as Tabitha | Merritt Wever as Annie | Jeremy Shamos as Ralph,194662
12 Years a Slave,https://cinejoy.to/movie/76203-12-years-a-slave-2013,https://image.tmdb.org/t/p/w500/xdANQijuNrJaw1HA61rDccME4Tm.jpg,2013-10-18,7.927,134,,Steve McQueen,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",en,Chiwetel Ejiofor as Solomon Northup | Michael Fassbender as Edwin Epps | Lupita Nyong'o as Patsey | Benedict Cumberbatch as William Ford | Paul Dano as John Tibeats | Sarah Paulson as Mary Epps | Adepero Oduye as Eliza | Scoot McNairy as Brown | Paul Giamatti as Theophilus Freeman | Brad Pitt as Samuel Bass,76203
Argo,https://cinejoy.to/movie/68734-argo-2012,https://image.tmdb.org/t/p/w500/m5gPWFZFIp4UJFABgWyLkbXv8GX.jpg,2012-10-11,7.284,120,,Ben Affleck,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",en,Ben Affleck as Tony Mendez | Bryan Cranston as Jack O'Donnell | Alan Arkin as Lester Siegel | John Goodman as John Chambers | Victor Garber as Ken Taylor | Tate Donovan as Bob Anders | Clea DuVall as Cora Lijek | Scoot McNairy as Joe Stafford | Rory Cochrane as Lee Schatz | Christopher Denham as Mark Lijek,68734
The Artist,https://cinejoy.to/movie/74643-the-artist-2011,https://image.tmdb.org/t/p/w500/xYMYV8lMIeQMymuNPBvq3hOnqXw.jpg,2011-10-12,7.431,100,,Michel Hazanavicius,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",fr,Jean Dujardin as George Valentin | Bérénice Bejo as Peppy Miller | John Goodman as Al Zimmer | James Cromwell as Clifton | Penelope Ann Miller as Doris Valentin | Missi Pyle as Constance Gray | Beth Grant as Peppy's Maid | Ed Lauter as Peppy's Butler | Joel Murray as Policeman Fire | Elizabeth Tulloch as Norma,74643
The King's Speech,https://cinejoy.to/movie/45269-the-king-s-speech-2010,https://image.tmdb.org/t/p/w500/pVNKXVQFukBaCz6ML7GH3kiPlQP.jpg,2010-11-26,7.731,118,,Tom Hooper,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",en,Colin Firth as King George VI | Geoffrey Rush as Lionel Logue | Helena Bonham Carter as Queen Elizabeth | Guy Pearce as King Edward VIII | Timothy Spall as Winston Churchill | Michael Gambon as King George V | Jennifer Ehle as Myrtle Logue | Derek Jacobi as Archbishop Cosmo Lang | Freya Wilson as Princess Elizabeth | Ramona Marquez as Princess Margaret,45269
The Hurt Locker,https://cinejoy.to/movie/12162-the-hurt-locker-2008,https://image.tmdb.org/t/p/w500/io2dfBJhasvGbgkCX9cCGVOiA99.jpg,2008-10-10,7.248,131,,Kathryn Bigelow,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",en,Jeremy Renner as Staff Sergeant William James | Anthony Mackie as Sergeant JT Sanborn | Brian Geraghty as Specialist Owen Eldridge | David Morse as Colonel Reed | Guy Pearce as Sergeant Matt Thompson | Evangeline Lilly as Connie James | Ralph Fiennes as Contractor Team Leader | Christian Camargo as Colonel John Cambridge | Christopher Sayegh as Beckham | David Gueriera as First Sergeant,12162
Slumdog Millionaire,https://cinejoy.to/movie/12405-slumdog-millionaire-2008,https://image.tmdb.org/t/p/w500/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,2008-11-12,7.726,121,,Danny Boyle,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",en,Dev Patel as Older Jamal | Freida Pinto as Older Latika | Madhur Mittal as Older Salim | Anil Kapoor as Prem | Mahesh Manjrekar as Javed | Saurabh Shukla as Sergeant Srinivas | Irrfan Khan as Police Inspector | Ankur Vikal as Maman | Tanay Chheda as Middle Jamal | Ayush Mahesh Khedekar as Youngest Jamal,12405
No Country for Old Men,https://cinejoy.to/movie/6977-no-country-for-old-men-2007,https://image.tmdb.org/t/p/w500/6d5XOczc226jECq0LIX0siKtgHR.jpg,2007-11-09,7.95,122,,Joel Coen,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",en,Javier Bardem as Anton Chigurh | Tommy Lee Jones as Ed Tom Bell | Josh Brolin as Llewelyn Moss | Woody Harrelson as Carson Wells | Kelly Macdonald as Carla Jean Moss | Garret Dillahunt as Wendell | Tess Harper as Loretta Bell | Barry Corbin as Ellis | Stephen Root as Man Who Hires Wells | Rodger Boyce as El Paso Sheriff,6977
The Departed,https://cinejoy.to/movie/1422-the-departed-2006,https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg,2006-10-04,8.2,151,,Martin Scorsese,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",en,Leonardo DiCaprio as Billy | Matt Damon as Colin | Jack Nicholson as Costello | Mark Wahlberg as Dignam | Martin Sheen as Queenan | Ray Winstone as Mr. French | Vera Farmiga as Madolyn | Anthony Anderson as Brown | Alec Baldwin as Ellerby | Kevin Corrigan as Cousin Sean,1422
Crash,https://cinejoy.to/movie/1640-crash-2005,https://image.tmdb.org/t/p/w500/86BdPC6RDX88NC880pLidKn2LCj.jpg,2005-05-06,7.212,112,,Paul Haggis,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",en,Don Cheadle as Det. Graham Waters | Sandra Bullock as Jean Cabot | Brendan Fraser as Rick Cabot | Matt Dillon as Officer John Ryan | Jennifer Esposito as Ria | Michael Peña as Daniel Ruiz | Terrence Howard as Cameron Thayer | Thandiwe Newton as Christine Thayer | Ludacris as Anthony | Larenz Tate as Peter,1640
Million Dollar Baby,https://cinejoy.to/movie/70-million-dollar-baby-2004,https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,2004-12-05,7.952,132,,Clint Eastwood,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",en,Clint Eastwood as Frankie Dunn | Hilary Swank as Maggie Fitzgerald | Morgan Freeman as Eddie Scrap-Iron Dupris | Jay Baruchel as Danger Barch | Mike Colter as Big Willie Little | Lucia Rijker as Billie 'The Blue Bear' | Brían F. O'Byrne as Father Horvak | Anthony Mackie as Shawrelle Berry | Margo Martindale as Earline Fitzgerald | Riki Lindhome as Mardell Fitzgerald,70
The Lord of the Rings: The Return of the King,https://cinejoy.to/movie/122-the-lord-of-the-rings-the-return-of-the-king-2003,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,8.506,201,,Peter Jackson,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",en,Elijah Wood as Frodo | Ian McKellen as Gandalf | Viggo Mortensen as Aragorn | Sean Astin as Sam | Andy Serkis as Gollum / Smeagol | Dominic Monaghan as Merry | Billy Boyd as Pippin | John Noble as Denethor | David Wenham as Faramir | Miranda Otto as Éowyn,122
A Beautiful Mind,https://cinejoy.to/movie/453-a-beautiful-mind-2001,https://image.tmdb.org/t/p/w500/rEIg5yJdNOt9fmX4P8gU9LeNoTQ.jpg,2001-12-14,7.9,135,,Ron Howard,"From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.",en,Russell Crowe as John Nash | Jennifer Connelly as Alicia Nash | Ed Harris as William Parcher | Paul Bettany as Charles Herman | Christopher Plummer as Dr. Rosen | Adam Goldberg as Richard Sol | Josh Lucas as Martin Hansen | Anthony Rapp as Bender | Jason Gray-Stanford as Ainsley Neilson | Judd Hirsch as Helinger,453
Gladiator,https://cinejoy.to/movie/98-gladiator-2000,https://image.tmdb.org/t/p/w500/wN2xWp1eIwCKOD0BHTcErTBv1Uq.jpg,2000-05-04,8.23,155,,Ridley Scott,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",en,Russell Crowe as Maximus | Joaquin Phoenix as Commodus | Connie Nielsen as Lucilla | Oliver Reed as Proximo | Richard Harris as Marcus Aurelius | Derek Jacobi as Gracchus | Djimon Hounsou as Juba | David Schofield as Falco | John Shrapnel as Gaius | Tomas Arana as Quintus,98
American Beauty,https://cinejoy.to/movie/14-american-beauty-1999,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg,1999-09-15,7.997,122,,Sam Mendes,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",en,Kevin Spacey as Lester Burnham | Annette Bening as Carolyn Burnham | Thora Birch as Jane Burnham | Wes Bentley as Ricky Fitts | Mena Suvari as Angela Hayes | Peter Gallagher as Buddy Kane | Allison Janney as Barbara Fitts | Chris Cooper as Colonel Fitts | Scott Bakula as Jim Olmeyer | Sam Robards as Jim Berkley,14
Titanic,https://cinejoy.to/movie/597-titanic-1997,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-12-18,7.9,194,,James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",en,Leonardo DiCaprio as Jack Dawson | Kate Winslet as Rose DeWitt Bukater | Billy Zane as Cal Hockley | Kathy Bates as Molly Brown | Frances Fisher as Ruth DeWitt Bukater | Gloria Stuart as Old Rose | Bill Paxton as Brock Lovett | Bernard Hill as Captain Smith | David Warner as Spicer Lovejoy | Victor Garber as Thomas Andrews,597
Forrest Gump,https://cinejoy.to/movie/13-forrest-gump-1994,https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,1994-06-23,8.461,142,,Robert Zemeckis,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",en,Tom Hanks as Forrest Gump | Robin Wright as Jenny Curran | Gary Sinise as Lieutenant Dan Taylor | Sally Field as Mrs. Gump | Mykelti Williamson as Bubba Blue | Michael Conner Humphreys as Young Forrest Gump | Hanna Hall as Young Jenny Curran | Haley Joel Osment as Forrest Junior | Siobhan Fallon Hogan as School Bus Driver | Rebecca Williams as Nurse at Park Bench,13
Schindler's List,https://cinejoy.to/movie/424-schindler-s-list-1993,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,8.569,195,,Steven Spielberg,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,en,Liam Neeson as Oskar Schindler | Ben Kingsley as Itzhak Stern | Ralph Fiennes as Amon Goeth | Caroline Goodall as Emilie Schindler | Jonathan Sagall as Poldek Pfefferberg | Embeth Davidtz as Helen Hirsch | Małgorzata Gebel as Viktoria Klonowska | Shmuel Levy as Wilek Chilowicz | Mark Ivanir as Marcel Goldberg | Béatrice Macola as Ingrid,424
The Silence of the Lambs,https://cinejoy.to/movie/274-the-silence-of-the-lambs-1991,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991-02-14,8.345,119,,Jonathan Demme,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",en,Jodie Foster as Clarice Starling | Anthony Hopkins as Dr. Hannibal Lecter | Scott Glenn as Jack Crawford | Ted Levine as Jame Gumb | Anthony Heald as Dr. Frederick Chilton | Brooke Smith as Catherine Martin | Diane Baker as Senator Ruth Martin | Kasi Lemmons as Ardelia Mapp | Frankie Faison as Barney | Tracey Walter as Lamar,274
The Godfather,https://cinejoy.to/movie/238-the-godfather-1972,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,8.687,175,,Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",en,Marlon Brando as Don Vito Corleone | Al Pacino as Michael Corleone | James Caan as Sonny Corleone | Robert Duvall as Tom Hagen | Richard S. Castellano as Clemenza | Diane Keaton as Kay Adams | Talia Shire as Connie Corleone Rizzi | Gianni Russo as Carlo Rizzi | Sterling Hayden as Captain McCluskey | John Marley as Jack Woltz,238
Avatar Aang: The Last Airbender,https://cinejoy.to/movie/980431-avatar-aang-the-last-airbender-2026,https://image.tmdb.org/t/p/w500/3sgnSfNT27Bx5O5ukr7B26mhEQq.jpg,2026-07-24,9.153,99,,Lauren Montgomery,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",en,Eric Nam as Aang (voice) | Dave Bautista as Tagah (voice) | Jessica Matten as Katara (voice) | Román Zaragoza as Sokka (voice) | Steven Yeun as Zuko (voice) | Dionne Quan as Toph (voice) | Dee Bradley Baker as Appa / Momo (voice) | Freida Pinto as Avatar Sonam (voice) | Ke Huy Quan as Avatar Xian (voice) | Taika Waititi as Gorillavark (voice),980431
Accidental Partners,https://cinejoy.to/movie/1632181-accidental-partners-2026,https://image.tmdb.org/t/p/w500/j0CIVzeR7hRAPBPGR54qDZoOQpp.jpg,2026-03-12,8.836,110,,Ihtzi Hurtado,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,es,Angelique Boyer as Alexa Hernández | Bárbara de Regil as Regina | Diego Klein as Roy / Sebastián Benavides / Erick López | Lucía Uribe as Claudia | Isabella Camil as Leticia Letram | Gabriela Platas as Majo | Laura Flores as Paty | Elena Pérez as Nadia Letram | César Rodríguez as Moncho | Rolando Breme as Ratero,1632181
Demon Slayer: Kimetsu no Yaiba Infinity Castle,https://cinejoy.to/movie/1311031-demon-slayer-kimetsu-no-yaiba-infinity-castle-2025,https://image.tmdb.org/t/p/w500/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,2025-07-18,8.802,156,,Haruo Sotozaki,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",ja,Natsuki Hanae as Tanjiro Kamado (voice) | Takahiro Sakurai as Giyu Tomioka (voice) | Akira Ishida as Akaza (voice) | Hiro Shimono as Zenitsu Agatsuma (voice) | Yoshimasa Hosoya as Kaigaku (voice) | Saori Hayami as Shinobu Kocho (voice) | Mamoru Miyano as Doma (voice) | Reina Ueda as Kanao Tsuyuri (voice) | Yuichi Nakamura as Keizo (voice) | Lynn as Koyuki (voice),1311031
The Shawshank Redemption,https://cinejoy.to/movie/278-the-shawshank-redemption-1994,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,8.73,142,,Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",en,Tim Robbins as Andy Dufresne | Morgan Freeman as Ellis Boyd 'Red' Redding | Bob Gunton as Warden Norton | William Sadler as Heywood | Clancy Brown as Captain Byron T. Hadley | Gil Bellows as Tommy | James Whitmore as Brooks Hatlen | Mark Rolston as Bogs Diamond | Jeffrey DeMunn as 1946 D.A. | Larry Brandenburg as Skeet,278
Project Hail Mary,https://cinejoy.to/movie/687163-project-hail-mary-2026,https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,8.639,157,,Phil Lord,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",en,Ryan Gosling as Ryland Grace | Sandra Hüller as Eva Stratt | James Ortiz as Rocky (voice) | Lionel Boyce as Carl | Milana Vayntrub as Olesya Ilyukhina | Ken Leung as Yao | Priya Kansara as Mary (voice) | Mia Soteriou as Dr. Browne | Annelle Olaleye as Olivia | Maya Eva Hosein as Rekha,687163
Michael,https://cinejoy.to/movie/936075-michael-2026,https://image.tmdb.org/t/p/w500/dueFqKLvjftnELZaGYwY7xinfaI.jpg,2026-04-22,8.63,128,,Antoine Fuqua,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",en,Jaafar Jackson as Michael | Colman Domingo as Joseph Jackson | Nia Long as Katherine Jackson | Juliano Krue Valdi as Young Michael | KeiLyn Durrel Jones as Bill Bray | Miles Teller as John Branca | Larenz Tate as Berry Gordy | Laura Harrier as Suzanne de Passe | Mike Myers as Walter Yetnikoff | Kendrick Sampson as Quincy Jones,936075
Young Hearts,https://cinejoy.to/movie/1232449-young-hearts-2024,https://image.tmdb.org/t/p/w500/iGCtYxfuvXfy0BD5m6p7vKuPOxS.jpg,2024-10-26,8.587,99,,Anthony Schatteman,"14-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",nl,Lou Goossens as Elias | Marius De Saeger as Alexander | Geert Van Rampelberg as Luk | Emilie De Roo as Nathalie | Dirk van Dijck as Fred | Jul Goossens as Maxime | Ezra van Dongen as Line | Olivier Englebert as Marc | Olga De Saeger as Ella | Wim Opbrouck as Tony,1232449
The Godfather Part II,https://cinejoy.to/movie/240-the-godfather-part-ii-1974,https://image.tmdb.org/t/p/w500/8a1lJs7mFyGhGhZZDT1azJUoQiZ.jpg,1974-12-20,8.572,202,,Francis Ford Coppola,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",en,Al Pacino as Don Michael Corleone | Robert Duvall as Tom Hagen | Diane Keaton as Kay Corleone | Robert De Niro as Vito Corleone | John Cazale as Frederico 'Fredo' Corleone | Talia Shire as Constanzia 'Connie' Corleone | Lee Strasberg as Hyman Roth | Michael V. Gazzo as Frank Pentangeli | G.D. Spradlin as Senator Pat Geary | Richard Bright as Al Neri,240
12 Angry Men,https://cinejoy.to/movie/389-12-angry-men-1957,https://image.tmdb.org/t/p/w500/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,1957-04-10,8.571,97,,Sidney Lumet,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",en,Martin Balsam as Juror 1 | John Fiedler as Juror 2 | Lee J. Cobb as Juror 3 | E.G. Marshall as Juror 4 | Jack Klugman as Juror 5 | Edward Binns as Juror 6 | Jack Warden as Juror 7 | Henry Fonda as Juror 8 | Joseph Sweeney as Juror 9 | Ed Begley as Juror 10,389
Chainsaw Man - The Movie: Reze Arc,https://cinejoy.to/movie/1218925-chainsaw-man-the-movie-reze-arc-2025,https://image.tmdb.org/t/p/w500/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,2025-09-19,8.555,100,,Tatsuya Yoshihara,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",ja,Kikunosuke Toya as Denji (voice) | Tomori Kusunoki as Makima (voice) | Reina Ueda as Reze (voice) | Shogo Sakata as Aki (voice) | Karin Takahashi as Kobeni (voice) | Fairouz Ai as Power (voice) | Natsuki Hanae as Beam (voice) | Maaya Uchida as Angel Devil (voice) | Yuuya Uchida as The Violence Fiend (voice) | Shiori Izawa as Pochita (voice),1218925
The Dark Knight,https://cinejoy.to/movie/155-the-dark-knight-2008,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,8.535,152,,Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",en,Christian Bale as Bruce Wayne | Heath Ledger as Joker | Aaron Eckhart as Harvey Dent | Michael Caine as Alfred | Maggie Gyllenhaal as Rachel | Gary Oldman as Gordon | Morgan Freeman as Lucius Fox | Monique Gabriela Curnen as Ramirez | Ron Dean as Wuertz | Cillian Murphy as Scarecrow,155
Spirited Away,https://cinejoy.to/movie/129-spirited-away-2001,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,8.535,125,,Hayao Miyazaki,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",ja,Rumi Hiiragi as Chihiro (voice) | Miyu Irino as Haku (voice) | Mari Natsuki as Yubaba / Zeniba (voice) | Takashi Naito as Father (voice) | Yasuko Sawaguchi as Mother (voice) | Tatsuya Gashuin as Aogaeru (voice) | Ryunosuke Kamiki as Boh (voice) | Yumi Tamai as Rin (voice) | Yo Oizumi as Bandai Frog (voice) | Koba Hayashi as River Spirit (voice),129
The Green Mile,https://cinejoy.to/movie/497-the-green-mile-1999,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,8.506,189,,Frank Darabont,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",en,Tom Hanks as Paul Edgecomb | David Morse as Brutus 'Brutal' Howell | Bonnie Hunt as Jan Edgecomb | Michael Clarke Duncan as John Coffey | James Cromwell as Warden Hal Moores | Michael Jeter as Eduard Delacroix | Graham Greene as Arlen Bitterbuck | Doug Hutchison as Percy Wetmore | Sam Rockwell as 'Wild Bill' Wharton | Barry Pepper as Dean Stanton,497
Dilwale Dulhania Le Jayenge,https://cinejoy.to/movie/19404-dilwale-dulhania-le-jayenge-1995,https://image.tmdb.org/t/p/w500/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,1995-10-20,8.504,190,,Aditya Chopra,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",hi,"Kajol as Simran Singh | Shah Rukh Khan as Raj Malhotra | Amrish Puri as Chaudhry Baldev Singh | Farida Jalal as Lajwanti 'Lajjo' Singh | Anupam Kher as Dharamvir Malhotra | Pooja Ruparel as Rajeshwari ""Chutki"" Singh | Parmeet Sethi as Kuljeet Singh | Satish Shah as Ajit Singh, Kuljeet's Father | Mandira Bedi as Preeti Singh, Kuljeet's Sister | Achala Sachdev as Simran's Grandmother",19404
GoodFellas,https://cinejoy.to/movie/769-goodfellas-1990,https://image.tmdb.org/t/p/w500/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,1990-09-12,8.451,145,,Martin Scorsese,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",en,Robert De Niro as James Conway | Ray Liotta as Henry Hill | Joe Pesci as Tommy DeVito | Lorraine Bracco as Karen Hill | Paul Sorvino as Paul Cicero | Frank Sivero as Frankie Carbone | Tony Darrow as Sonny Bunz | Mike Starr as Frenchy | Frank Vincent as Billy Batts | Chuck Low as Morris Kessler,769
