title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Spider-Man: Brand New Day,https://cinejoy.to/movie/969681-spider-man-brand-new-day-2026,https://image.tmdb.org/t/p/w500/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,"Jul 29, 2026",7.9,2h 25m,PG-13,Destin Daniel Cretton,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,EN,Tom Holland | Peter Parker / Spider-Man | Zendaya | MJ | Mark Ruffalo | Bruce Banner / Hulk | Jon Bernthal | Frank Castle / Punisher | Jacob Batalon | Ned Leeds | Sadie Sink | Jean Grey | Florence Pugh | Yelena Belova / Black Widow | Liza Colón-Zayas | Detective Jean DeWolff | Tramell Tillman | William 'Bill' Metzger | Marisa Tomei | May Parker,969681
The Odyssey,https://cinejoy.to/movie/1368337-the-odyssey-2026,https://image.tmdb.org/t/p/w500/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,"Jul 15, 2026",8.0,2h 53m,R,Christopher Nolan,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",EN,Matt Damon | Odysseus | Tom Holland | Telemachus | Anne Hathaway | Penelope | Robert Pattinson | Antinous | Himesh Patel | Eurylochus | Charlize Theron | Calypso | John Leguizamo | Eumaeus | Travis Scott | Bard | Corey Hawkins | Polybus | Jarreth J. Merz | Leodes,1368337
Mutiny,https://cinejoy.to/movie/1288445-mutiny-2026,https://image.tmdb.org/t/p/w500/pu2VxGlpGwffOx292w18b1tv96j.jpg,"Aug 19, 2026",6.4,1h 35m,R,Jean-François Richet,"After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",EN,Jason Statham | Cole Reed | Annabelle Wallis | Angie Ellis | Roland Møller | Captain Marko Madsen | Ramon Tikaram | Tibu Campallo | Arnas Fedaravičius | Mateo Pineda | Jason Wong | Taran | Adrian Lester | Captain Adam Spencer | Chaneil Kular | Kameron Campallo | Andrew John Tait | BK Lobby Businessman | Simon Kluth | Jaran Daniles,1288445
Coyote vs. Acme,https://cinejoy.to/movie/1204680-coyote-vs-acme-2026,https://image.tmdb.org/t/p/w500/orkLtdgMGiO9rTVMqJ1kKwrnup1.jpg,"Aug 20, 2026",7.6,1h 43m,PG,Dave Green,"After Acme products fail him one too many times in his dogged pursuit of the Roadrunner, Wile E. Coyote decides to hire a billboard lawyer to sue the Acme Corporation.",EN,Will Forte | Kevin Avery | Lana Condor | Paige Avery | John Cena | Buddy Crane | Tone Bell | Sal Maltese | Martha Kelly | Dottie Jones | Luis Guzmán | Judge Troppogrosso | P.J. Byrne | Bill Pellicanos | John Early | Henry Heslop | Nancy Linehan Charles | Cherry | Kenneth Choi | Oscar Jeon,1204680
Shape of My Heart,https://cinejoy.to/movie/1285366-shape-of-my-heart-2024,https://image.tmdb.org/t/p/w500/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg,"Jul 6, 2024",5.2,1h 31m,,Shinji Imaoka,"A romance about a man and a woman who, due to an unexpected event, end up switching bodies. Despite coming from completely different backgrounds and environments, the two try to overcome the various difficulties that arise from their body swap.",JA,Keisuke Koide | Henmi Takashi | K | Kei Fubuki | Yokozawa Satomi | Manami Shindo | Yurina | Yohta Kawase | Kotaro Tanaka | [Gay bar owner] | Norimasa Fuke | A | Araki Futaba,1285366
The Runner,https://cinejoy.to/movie/1386315-the-runner-2026,https://image.tmdb.org/t/p/w500/uxCaBoYXsDC4A0SqTm3SISj0OwK.jpg,"Sep 3, 2026",6.7,1h 26m,PG-13,Kevin Macdonald,"Maia Marten, a brilliant London lawyer, has her life shattered by a single call on her morning run: her son has been taken. To get him back, she must keep running, obey every ruthless command, and trust no one-each second a test of how far a mother will go to save her child.",EN,Gal Gadot | Maia | Damian Lewis | The Caller | Rory Wilmot | Noah | Alfred Enoch | Ted | Phoenix Di Sebastiani | Tafa | Nathan Kirby | Wiry Dude | Hélder Fernandes | Buddy | Will Austin | NCA Officer 1 | Mark Hampton | NCA Officer 2 | Stevie Binns | NCA Officer 3,1386315
Colony,https://cinejoy.to/movie/1375646-colony-2026,https://image.tmdb.org/t/p/w500/tN799oUR0f1gUKDYdMNrDaY7I51.jpg,"May 21, 2026",8.1,2h 3m,R,Yeon Sang-ho,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",KO,Gianna Jun | Kwon Se-jeong | Koo Kyo-hwan | Seo Young-cheol | Ji Chang-wook | Choi Hyun-seok | Kim Shin-rock | Choi Hyun-hee | Shin Hyun-been | Kong Seol-hee | Go Soo | Han Kyu-seong | Lee Joong-ok | Lee Bong-seok | Kim Jong-tae | Kang Woo-cheol | Hwang Jae-yeol | Citizen | Lee Dam-hee | Lee So-eun,1375646
The Last Sunrise,https://cinejoy.to/movie/1516698-the-last-sunrise-2026,https://image.tmdb.org/t/p/w500/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,"Aug 26, 2026",6.6,1h 47m,R,Carlson Young,"Ry, a college student with a chronic illness, escapes to Mallorca for the summer with her mother, where she unexpectedly falls for a local and begins to embrace living in the moment. But as her condition worsens and long-hidden family secrets come to light, everything she has found before summer's end is threatened.",EN,Maia Reficco | Oriah 'Ry' Pera | Fernando Lindez | Julián | Eva Longoria | Isolde Pera | Chloé Sweetlove | Amara | Andrés Velencoso | Mateo | Stefanie Martini | Lena | Sabrina Bartlett | Prisha | Àlex Peracaula | Carlos | Molly B. Thomas | Sofia | Razan Nassar | Chloe,1516698
Obsession,https://cinejoy.to/movie/1339713-obsession-2026,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,"May 13, 2026",8.2,1h 49m,R,Curry Barker,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",EN,Michael Johnston | Bear | Inde Navarrette | Nikki | Cooper Tomlinson | Ian | Megan Lawless | Sarah | Andy Richter | Carter | Haley Fitzgerald | Viola | Darin Toonder | Harry | Anthony Pavone | Reggie | Justice | Joe | Anthony Casabianca | Chris,1339713
Toxic: A Fairy Tale for Grown-ups,https://cinejoy.to/movie/1213243-toxic-a-fairy-tale-for-grown-ups-2026,https://image.tmdb.org/t/p/w500/oiIPU4lvnI0Ag2K9cyAi44eCaoE.jpg,"Aug 26, 2026",8.0,3h 12m,,Geetu Mohandas,"A powerful drug cartel pulls the strings behind a facade of sun-soaked beaches as a gritty, violent underworld power struggle emerges during the crumbling of Portuguese colonial rule.",KN,Yash | Raya / Ticket | Kiara Advani | Nadia | Nayanthara | Ganga | Huma Qureshi | Elizabeth | Tara Sutaria | Rebecca | Rukmini Vasanth | Mellisa | Sudev Nair | Karmadi | Akshay Oberoi | Tony | Balaji Manohar | Bheera | Darrell D'Silva | Salvador,1213243
